node_id,x,y,t_0,t_50,t_100,t_150,t_200,t_250,t_300,t_350,t_400,t_450,t_500
1,0.1000000010,0.0049999999,100.000000,349.185178,488.526223,577.694105,642.958678,695.730427,741.041413,781.209569,817.391505,850.237317,880.167602
2,0.0546918176,0.0049999999,100.000000,231.522809,329.308646,409.886382,479.955544,542.526075,599.110769,650.586958,697.547195,740.445124,779.657819
3,0.0226540919,0.0049999999,100.000000,270.037921,381.088172,463.404294,530.935851,589.690670,642.300378,690.016268,733.528120,773.291928,809.659437
4,0.0000000000,0.0049999999,100.000000,374.686333,505.968111,586.997849,647.285582,697.333984,741.219109,780.668362,816.510547,849.218593,879.117644
5,0.1000000010,-0.0403081849,100.000000,231.522807,329.308645,409.886382,479.955545,542.526076,599.110770,650.586958,697.547196,740.445125,779.657819
6,0.0623899326,-0.0326100662,100.000000,95.151849,147.644419,220.164456,296.736438,370.968272,440.560144,504.891202,564.001516,618.173863,667.765557
7,0.0303522106,-0.0253522098,100.000000,122.210327,186.874752,262.502699,338.037901,409.677687,476.261036,537.613872,593.929986,645.531161,692.772346
8,0.0000000000,-0.0176540911,100.000000,270.037920,381.088173,463.404296,530.935854,589.690673,642.300381,690.016270,733.528123,773.291930,809.659439
9,0.1000000010,-0.0723459050,100.000000,270.037913,381.088164,463.404287,530.935845,589.690665,642.300374,690.016264,733.528116,773.291925,809.659434
10,0.0696477890,-0.0646477863,100.000000,122.210320,186.874740,262.502685,338.037888,409.677674,476.261024,537.613861,593.929976,645.531152,692.772338
11,0.0376100652,-0.0573899336,100.000000,95.151854,147.644426,220.164464,296.736446,370.968280,440.560150,504.891208,564.001522,618.173869,667.765562
12,0.0000000000,-0.0496918149,100.000000,231.522810,329.308647,409.886384,479.955547,542.526077,599.110771,650.586960,697.547197,740.445126,779.657820
13,0.1000000010,-0.0949999988,100.000000,374.686330,505.968110,586.997849,647.285582,697.333984,741.219110,780.668362,816.510548,849.218593,879.117645
14,0.0773459077,-0.0949999988,100.000000,270.037914,381.088165,463.404288,530.935846,589.690665,642.300375,690.016264,733.528117,773.291925,809.659434
15,0.0453081839,-0.0949999988,100.000000,231.522809,329.308646,409.886382,479.955545,542.526075,599.110769,650.586957,697.547195,740.445124,779.657818
16,0.0000000000,-0.0949999988,100.000000,349.185180,488.526225,577.694105,642.958678,695.730427,741.041413,781.209568,817.391504,850.237316,880.167601
